nombre_farmacia,latitud,longitud
FARMACIAS ROMA,32.38765824,-116.9387842
FARMACIAS ROMA TECATE JUAREZ,32.47966261,-116.9371949
FARMACIA ROMA PALACIO,32.54473927,-116.936988
BOTICAS GUADALUPANA,32.53506389,-116.9331277
FARMACIA GISELL,32.54437837,-116.931087
FARMACIAS ROMA TECATE LOS ENCINOS,32.44328322,-116.9301957
FARMACIAS BENAVIDES SUC CENTRO URBANO BCN,32.46352196,-116.9289457
FARMACIAS BENAVIDES SUC TECATE BCN,32.50778923,-116.9278043
FARMACIA GUADALAJARA,32.52395193,-116.9255138
FARMACIAS BENAVIDES SUC IGNACIO ZARAGOZA BCN,32.46421633,-116.9251177
FARMACIA GUADALAJARA,3.24579194,-116.9248302
FARMACIA GUADALAJARA,32.46347316,-116.9240898
FARMACIAS ROMA SANTA ANITA,32.50379578,-116.9216153
FARMACIA SIMILAR,32.52461842,-116.9206982
FARMACIAS BENAVIDES SUC BELLAS ARTES BCN,32.49192731,-116.9205452
FARMACIA ROMA MAGISTERIAL,0.32226076,-116.9194323
FARMACIA SHEERS,32.49912933,-116.9183467
FARMACIAS BENAVIDES SUC CUAUHTEMOC BCN,32.22527084,-116.9183296
FARMACIA AMSTERDAM,32.46815445,-116.9183139
FARMACIA LA LINEA,32.46858778,-116.917382
FARMACIA PREMIER,32.46858349,-116.917382
FARMACIA TITI,32.48955666,-116.9169934
FARMACIA ROMA LAS CALIFORNIAS,32.48983833,-116.9167227
FARMACIAS ROMA CHAPARRAL,32.22256683,-116.916339
FARMACIA MAGGIE,32.22137921,-116.9160627
FARMACIA ROMA CENTRO MEDICO LIBERTAD,32.22123454,-116.9160198
FARMACIAS BENAVIDES SUC PUEBLO AMIGO 0.F.N.BCN,32.54518891,-116.9068179
FARMACIA FRANCIA,32.49024805,-116.9054168
FARMACIA DOCTOR S,32.49054188,-116.9050969
FARMACIA TITAN,32.50246406,-116.9036822
FARMACIA SANTA TERESITA,32.53490588,-116.9019236
FARMACIA ROMA PLAZA DORADA OTAY,3.25016021,-116.8927964
EQUILIBRIO FARMACEUTICO,32.50139616,-116.8923581
FARMACIAS BENAVIDES SUC CALLE SEGUNDA II BCN,32.50126173,-116.8922474
FARMACIAS ROMA LAS TORRES OTAY,32.52362323,-116.8907433
FARMACIA UNIVERSO,32.50152087,-116.8905682
FARMACIAS DE DESCUENTO,32.49835023,-116.890233
FARMACIA BAJA MAX,32.50162757,-116.8897232
FARMACIA MORELIA,32.49387866,-116.884095
FARMACIA GUSHER,32.49349351,-116.8831102
FARMACIA GUADALAJARA,32.46148419,-116.8804873
FARMACIA INTERNACIONAL,3.24800106,-116.880301
DISCOUNT PHARMACY 2,32.53049004,-116.8735172
FARMACIA FUENTE DE SALUD,32.51289918,-116.8722907
FARMACIA D KARLO,32.46306704,-116.8685346
FARMACIA ROMA CALLE 3RA,32.49722875,-116.8618652
FARMACIA BENAVIDES SUC EL SOLER BCN,32.47254336,-116.8598713
FARMACIA NAYELI,32.47275516,-116.8597948
FARMACIA GUADALAJARA,32.51408009,-116.8594916
FARMACIAS DEL ALBA,32.51421971,-116.8591798
FARMACIA OLIMPYA,32.48994098,-116.8550372
FARMACIA ROMA CENTRO CALLE 5TA,32.49022358,-116.8539004
MEDS4U,32.48533504,-116.8530049
FARMACIA ROMA LIMON LIBERTAD,32.49694874,-116.8498375
FARMACIA ROMA RIBERA DEL BOSQUE,32.46950911,-116.8459764
FARMACIA ROMA PASEO DE LOS HEROES,32.46972516,-116.8453826
FARMACIA ROMA RIO SANCHEZ TABOADA,32.45654608,-116.8264505
FARMACIA ROMA PLAZA MISION SOLER,32.50791808,-116.7357323
FARMACIAS GUADALAJARA,31.88694614,-116.6878292
FARMACIA ROMA MIRADOR,31.86693617,-116.6602526
FARMACIA ROMA TOMAS AQUINO,32.56412221,-116.6511157
FARMACIA BENAVIDES SUC CASTELLANOS BCN,32.57288091,-116.6346579
FARMACIAS BENAVIDES SUC PLAYAS BCN,32.56640091,-116.6344104
FARMACIAS BENAVIDES SUC PLAZA JARDINES BCN,32.56597994,-116.6315285
FARMACIA YZA,32.56294658,-116.631522
FARMACIA GUSHER,3.18642041,-116.6276421
FARMACIAS GUADALAJARA,31.86354141,-116.6275154
FARMACIA ROMA INDEPENDENCIA CALLE 9NA,31.86210863,-116.6265445
FARMACIA SAN GABRIEL,31.86988864,-116.6259726
FARMACIA MARGOT,32.57272339,-116.6258679
FARMACIA Y MISCELANEA LA POSTAL,31.86965242,-116.624616
FARMACIAS SIMILARES,3.18705076,-116.6242122
FARMACIAS ROMA LA POSTAL,3.18682849,-116.6237073
FARMACIA ROMA MURUA,31.86663983,-116.6232037
FARMACIA ROMA TERAN TERAN,31.86051618,-116.6230551
FARMACIAS DE SUPERDESCUENTOS DEL NORTE,31.87151128,-116.6225325
FARMACIA ROMA AV PASEO ENSENADA PLAYAS,31.87062264,-116.6198294
FARMACIA ROMA TORRE AGUACALIENTE,31.86514417,-116.6185623
FARMACIA DEL SOL,31.86384291,-116.6158588
FARMACIAS GUADALAJARA,32.57525541,-116.6128772
FARMACIA LA MAS BARATA SUC 28,31.88322006,-116.608582
FARMACIA SAN LUIS,31.86918212,-116.6084454
FARMACIAS ROMA ALAMAR,31.86439296,-116.6075026
FARMACIA ROMA TROPICANA CACHO,31.85074237,-116.6072679
FARMACIAS BENAVIDES SUC FRANCISCO VILLA BCN,31.86032164,-116.6064837
FARMACIAS GUADALAJARA,3.18596977,-116.6062888
FARMACIA ROMA VILLA,31.83219392,-116.605437
FARMACIAS BENAVIDES SUC CUCAPH BCN,31.82523877,-116.6040578
FARMACIAS GUADALAJARA,31.84187634,-116.6027628
FARMACIA INTERNACIONAL,31.83686014,-116.6021028
FARMACIA ROMA VILLAFONTANA,31.85153709,-116.6006604
FARMACIA ROMA CONQUSITADOR,31.86112364,-116.5994557
FARMACIA GREEN,3.18517992,-116.5988664
FARMACIA LUISA,31.85206682,-116.598095
FARMACIA ROMA CAMPESTRE,31.81436666,-116.5975599
FARMACIAS GUADALAJARA,31.86258168,-116.5896277
FARMACIA ROMA CHAPULTEPEC,31.86300973,-116.5866761
FARMACIA GAL,31.79040631,-116.5855215
FARMACIAS ROMA CHOPO,3.17831961,-116.5851277
FARMACIA GUSHER,3.17294582,-116.578608
FARMACIA ROMA HIPODROMO,3.18962326,-116.5773947
FARMACIAS ROMA URBI VILLAS DEL CAMPO,31.88047647,-116.5769317
FARMACIA BENAVIDES SUC DEL LAGO BCN,31.72386746,-116.5738824
FARMACIAS GUADALAJARA,31.72220064,-116.5730779
FARMACIA ROMA LA MESA,3.18953943,-116.5675292
FARMACIA BENAVIDES SUC VIENTOS ALISEOS BCN,32.10123572,-116.5638047
FARMACIA GUADALAJARA,31.06467772,-116.2081965
FARMACIA ROMA,31.06935619,-116.2074659
MERCADO REYES,31.07053164,-116.2071146
FARMACIAS BENAVIDES SUC CASA BLANCA BCN,30.56854982,-115.9445719
FARMACIA GUADALAJARA,32.63226168,-115.5603555
FARMACIA ROMA,32.64677192,-115.5228705
FARMACIA ROMA CASA BLANCA,32.64618044,-115.5212675
SUCURSA SOL FARMACIA INTEGRA,32.62144262,-115.5138515
FARMACIA GUSHER,32.65623963,-115.5104691
FARMACIA SOFIA,32.64236977,-115.506113
FARMACIA ROMA 5 Y 10,3.26131366,-115.5061024
FARMACIA ROMA COLORADO MATAMOROS,32.65613563,-115.5058942
FARMACIA ROMA ALBA ROJA,32.64714945,-115.5057373
FARMACIA LH,32.64185244,-115.5057069
FARMACIA GUADALAJARA,32.64449171,-115.5057005
FARMACIA BENAVIDES SUC 5 Y 10 BCN,32.62411872,-115.5056902
FARMACIA ROMA CORREDOR 2000,32.64393388,-115.5055955
FARMACIA GUADALAJARA,32.63048046,-115.5053104
FARMACIAS GUADALAJARA,32.63048036,-115.5052793
FARMACIA ROMA FUNDADORES,32.62365846,-115.5020688
FARMACIA ROMA CALZADA GUADALUPE,32.65612926,-115.5004361
FARMACIA MONTESSA,32.62395211,-115.5002581
FARMACIAS ROMA PRESIDENTES,3.26562537,-115.4993646
FARMACIA ROMA,32.62395503,-115.4975682
FARMACIA GUADALAJARA,32.64516622,-115.4954955
FARMACIA ROMA EL DORADO,32.62361086,-115.4951287
FARMACIA ROMA GUAYCURA,32.66406357,-115.4950156
FARMACIA ROMA BICENTENARIO,32.62398046,-115.4948254
FARMACIA ROMA TERRAZAS DEL VALLE,32.66266996,-115.4937311
FARMACIA ESTELITA,32.63329061,-115.4935985
FARMACIA SAN FRANCISCO,32.66232852,-115.491509
FARMACIA TREBOL,32.66088698,-115.4914624
FARMACIA INTERNACIONAL,32.65904863,-115.48894
FARMACIAS BENAVIDES SUCURSAL PRIMERA,3.26627843,-115.4879628
FARMACIA ROMA SALVATIERRA,32.66193803,-115.4867042
FARMACIA ROMA LOMA BONITA,32.60439496,-115.4835995
FARMACIAS GUADALAJARA,32.59368341,-115.4814994
FARMACIAS GUADALAJARA,32.61829436,-115.4792821
FARMACIA GUADALAJARA,32.61820067,-115.479282
FARMACIA FUNDADORES,32.59894666,-115.4784121
BOTICAS GUADALUPANA,32.66543352,-115.4778117
FARMACIA SIFARMA,32.63145967,-115.4769162
FARMACIAS ROMA EL RUBI,32.64453643,-115.4763237
FARMACIA GUADALAJARA,32.66577954,-115.475505
FARMACIA ROMA VILLAFLORESTA,32.62368611,-115.4732209
FARMACIA VENISSA,32.60466153,-115.472971
FARMACIA ROMA PLAZA CORTEZ SANCHEZ TABOADA,32.61838117,-115.4725628
FARMACIAS GUADALAJARA,32.58478795,-115.4724751
FARMACIAS BENAVIDES SUC LOMAS DEL REFUGIO BCN,32.59961448,-115.4724654
FARMACIAS BENAVIDES SUC FLORIDO BCN,32.65095989,-115.472254
FARMACIAS GUADALAJARA,32.66587665,-115.4719433
FARMACIA SAN JORGE,32.59627692,-115.4665271
FARMACIAS ROMA PACIFICO,32.65016544,-115.4652795
FARMACIA ROMA,32.66100282,-115.4642548
FARMACIA GUADALAJARA,3.26064217,-115.4637342
FARMACIAS BENAVIDES SUCURSAL SAN LUIS RIO COLORADO-KINO,32.61250687,-115.4627626
FARMACIA ROMA LAS FUENTES,32.64710201,-115.4604101
FARMACIA ROMA LATINOS,32.61761699,-115.4570344
FARMACIAS BENAVIDES SUC BLVD. INSURGENTES BCN,32.65977368,-115.4525842
FARMACIAS BENAVIDES SUC PLAZA DEL RIO BCN,32.63784143,-115.4525654
FARMACIA MARCE,32.65792591,-115.4523276
FARMACIAS BENAVIDES SUC COLINAS DE CALIFORNIA BCN,32.64841971,-115.4518056
CONSULTORIO BENAVIDES,32.65735141,-115.4498096
TERRA FARMACIAS,32.66263631,-115.449368
FARMACIA EDIRO,32.63642998,-115.448228
AS FARMACIA,32.63681902,-115.4482276
FARMACIAS BENAVIDES SUC LIBERTAD RIO COLORADO,32.58800908,-115.4448336
FARMA VIDA,32.62291008,-115.4432163
FARMACIAS GUADALAJARA,3.25873144,-115.4404289
FARMACIAS SIMILARES,32.61468256,-115.4400488
FARMACIAS BENAVIDES SUC CONTRERAS BCN,32.63915177,-115.4382
FARMACIA ROMA SIMON BOLIVAR,32.66301742,-115.4375483
FARMACIAS BENAVIDES SUC MILENIO BCN,32.58563891,-115.434391
FARMACIA ROMA CENTRO COMERCIAL PLAZA EL REFUGIO,32.58449564,-115.4343508
FARMACIAS ROMA SANCHEZ TABOADA,32.62462239,-115.4341926
FARMACIA ROMA,32.64299462,-115.4323897
FARMACIA BIENESTAR,32.58510975,-115.4320319
FARMACIA ROMA LOMAS DEL REFUGIO,32.62531769,-115.4318878
BOTICAS GUADALUPANA,32.62495633,-115.4317698
FARMACIAS BENAVIDES SUCURSAL PLAZA 26,32.65868005,-115.4282489
FARMACIAS BENAVIDES SUCURSAL SAN LUIS RIO COLORADO,32.62470382,-115.4279975
FARMACIA ROMA LA GLORIA,32.65863237,-115.426582
FARMACIA ROMA LA PAJARITA SANTA FE,32.61432073,-115.4261854
FARMACIAS ROMA LOMAS DE LA PRESA,32.63848286,-115.4183977
FARMACIA POPULAR,32.65695005,-115.4161202
FARMACIA NACIONAL SANTA FE,32.66480058,-115.4157762
FARMACIAS ROMAS CANON DEL SAINZ,32.65507382,-115.413361
FARMACIA GENT PART,32.62293042,-115.4060279
FARMACIAS ROMA SANTA FE CEDROS,32.60949035,-115.4053942
FARMACIA VIANED,32.60919525,-115.4051764
FARMACIAS MODERNAS DE TIJUANA,32.65295066,-115.4013362
FARMACIA ROMA URBI VILLAS DEL PRADO,32.59087956,-115.3983455
FARMACIAS ROMA AZTLAN,3.26091234,-115.3954672
FARMACIAS ROMA NATURA,32.61176145,-115.3952018
FARMACIA GUADALAJARA,32.65290458,-115.3946581
FARMACIA ROMA PLAZA GIRAMAR JUAREZ,32.61250563,-115.3945423
FARMACIA ROMA BENITO JUAREZ,32.62949228,-115.3877699
FARMACIA GUADALAJARA,32.63246729,-115.3870282
FARMACIA ROMA SAN JUAN CONSTITUCION,32.63619259,-115.385802
FARMACIA GUSHER,32.59804284,-115.3855583
FARMACIAS ROMA BLVD GUERRERO,32.59430887,-115.3830206
FARMACIA ROMA MAZATLAN,32.61302371,-115.3776479
FARMACIAS ROMA POPOTLA,32.60169869,-115.373578
FARMACIA GUADALAJARA,32.61397703,-115.3709284
FARMACIA BENAVIDES SUC K43 BCN,32.57872403,-115.3671754
WHITE HORSE,3.25781643,-115.3623135
FARMACIA DE JESUS,32.57797806,-115.3608356
FARMACIAS ROMA PRIMO TAPIA,32.55995532,-115.3583841
FARMACIA ESMAR,32.58401169,-115.3557785
INTEGRA FARMACIAS,28.09508426,-115.1872594
ENTREGA CANTAMAR,28.09570867,-115.1870155
FARMACIA MATER,32.23892093,-115.1673981
FARMACIA SANTA MONICA,32.28648157,-115.1009149
FARMACIAS ROMA VALLE DE GUADALUPE,32.28781306,-115.0993234
FARMACIA SAN ANGEL,32.19604288,-114.9982159
FARMACIAS ROMA POPULAR,32.56952972,-114.9975719
LA MEXICANA FARMACIA Y MAS,32.57119233,-114.992537
FARMACIAS ROMA VALLE VERDE,27.69619457,-114.8973697
FARMACIAS ROMA PLAZA CIRCUITO ORIENTE,32.63323115,-114.8533107
FARMACIAS GUADALAJARA,32.63524376,-114.8528263
FARMACIAS ROMA RIVEROL,32.63528214,-114.8526839
FARMACIAS ROMA PARQUE REVOLUCION,31.02647958,-114.8453198
FARMACIA BENAVIDES SUC CENTRO ENSENADA BCN,32.43241747,-114.8209461
FARMACIA GUADALAJARA,32.46800972,-114.7989538
FARMACIA BELEM,32.48382665,-114.7829993
VIVEST PHARMACY Y HEALTHY BAR,32.48478258,-114.7826304
FARMACIA MAYOF,32.48413181,-114.7797991
FARMACIA DEL PUEBLO,32.48160868,-114.7797167
FARMACIA BENAVIDES SUC OCTAVA Y REFORMA BCN,32.48076599,-114.7795412
SUPER FARMACIA DE ENSENADA,32.47202439,-114.7784369
FARMACIA DEL MAR,3.24736914,-114.7781282
FARMACIA MODERNA,32.47015977,-114.7778953
FARMACIA SANTA EMA,32.48239277,-114.7774799
FARMACIAS ROMA MAESTROS,32.48239011,-114.7774711
THE ROYAL PHARMACY,32.45130452,-114.7646634
FARMACIA CORTEZ,32.44630371,-114.7612191
FARMACIAS ROMA MARINA,32.46804616,-114.7577731
FARMACIA ROMA INDEPENDENCIA,32.47566702,-114.7551011
FARMACIA MEDICAL ENSENADA,32.46518377,-114.7530237
FARMACIAS ROMA DELANTE,32.43385983,-114.7430191
FARMACIA SAN MARTÍN,32.43757233,-114.7407315
FARMACIA BENAVIDES SUC DELANTE BCN,32.71697431,-114.7302389
FARMACIA PREMIER,32.71699121,-114.7299874
FARMACIA ROMA REFORMA,32.71600976,-114.729943
FARMACIA BENAVIDES SUC FLORESTA Y LOYOLA BCN,32.45921678,-114.7292887
FARMACIAS ROMA PEDRO LOYOLA,32.71808564,-114.7261691
FARMACIA ROMA VISTA HERMOSA,31.68507507,-114.4977162
FARMACIA VILLAS,27.96747903,-114.0464483
FARMACIA DE LA COLONIA,27.97092695,-114.044702
FARMACIA DE LA COLONIA,27.96969083,-114.0409157
ZUFARMACIA,3.13045111,-113.5521552
ZUFARMACIA,31.30346367,-113.5519971
FARMACIAS BENAVIDES SUC AMERICAS CD. JUAREZ CHI,31.30342184,-113.5519847
FARMACIAS BENAVIDES SUC AMERICAS CD. JUAREZ CHI,3.13032272,-113.5519157
FARMACIA GUADALAJARA,31.30445947,-113.5516111
FARMACIA GUADALAJARA,31.30465928,-113.5514539
FARMACIA NACIONAL JUAREZ,3.13320701,-113.5486731
FARMACIA NACIONAL JUAREZ,31.30383524,-113.5471931
FARMACIAS BENAVIDES SUC CHAMIZAL CHI,31.31115712,-113.5464497
FARMACIAS BENAVIDES SUC CHAMIZAL CHI,31.33200863,-113.5464034
FARMACIAS BENAVIDES SUC JUAREZ 6 CHI,31.31126852,-113.5463773
FARMACIAS BENAVIDES SUC JUAREZ 6 CHI,31.30288275,-113.5456214
FARMACIAS BENAVIDES SUC JUAREZ 7 CHI,31.30375188,-113.5440631
FARMACIAS BENAVIDES SUC JUAREZ 7 CHI,31.34532788,-113.5421356
FARMACIAS BENAVIDES SUC PUENTE SANTA FE CHI,31.31658039,-113.5394852
FARMACIAS BENAVIDES SUC PUENTE SANTA FE CHI,31.31731399,-113.5392677
FARMACIAS BENAVIDES SUC CADMIO CHI,31.34176857,-113.5390095
FARMACIAS BENAVIDES SUC CADMIO CHI,31.30695093,-113.5386041
FARMACIAS BENAVIDES SUC SUCURSAL EL PASO CHI,3.13163066,-113.5378403
FARMACIAS BENAVIDES SUC SUCURSAL EL PASO CHI,31.32110705,-113.5369221
FARMACIAS GUADALAJARA,31.33076847,-113.5359157
FARMACIAS GUADALAJARA,31.31949658,-113.5343034
FARMACIAS GUADALAJARA,31.32632088,-113.5214781
FARMACIAS GUADALAJARA,31.34103615,-113.5168358
FARMACIAS BENAVIDES SUC V. CARRANZA - CD.JUAREZ CHI,31.32629675,-113.5040904
FARMACIAS BENAVIDES SUC V. CARRANZA - CD.JUAREZ CHI,31.33555076,-113.5009776
FARMACIAS BENAVIDES SUC JUAREZ 2 CHI,27.64337951,-113.3920445
FARMACIAS BENAVIDES SUC JUAREZ 2 CHI,3.18649227,-112.8471884
FARMACIAS BENAVIDES SUC JUAREZ 5 CHI,31.86874471,-112.8322502
FARMACIAS BENAVIDES SUC JUAREZ 5 CHI,30.80530997,-112.7116932
FARMACIA LA CONFIANZA,3.07135411,-112.1730968
FARMACIA LA CONFIANZA,30.70595367,-112.1686284
FARMACIAS BENAVIDES SUC RIO GRANDE CHI,3.07338596,-112.1675499
FARMACIAS BENAVIDES SUC RIO GRANDE CHI,30.71047043,-112.1650879
FARMACIAS BENAVIDES SUC PASEO DEL TRIUNFO CHI,30.70530275,-112.1647621
FARMACIAS BENAVIDES SUC PASEO DEL TRIUNFO CHI,30.71440149,-112.1615535
FARMACIAS BENAVIDES SUC MINA CHI,30.71133958,-112.1586624
FARMACIAS BENAVIDES SUC MINA CHI,30.71868666,-112.151076
FARMACIA ARCOIRIS,30.71562026,-112.1505714
FARMACIA ARCOIRIS,30.71369538,-112.1501973
FARMACIAS BENAVIDES SUC INSURGENTES CHI,30.71361146,-112.1501871
FARMACIAS BENAVIDES SUC INSURGENTES CHI,24.78945778,-112.1063248
FARMACIAS BENAVIDES SUC TOMAS FERNANDEZ CHI,28.84498523,-111.492275
FARMACIAS BENAVIDES SUC TOMAS FERNANDEZ CHI,28.84069898,-111.478299
FARMACIAS BENAVIDES SUC CALZADA DEL RIO CHI,26.02126727,-111.348341
FARMACIAS BENAVIDES SUC CALZADA DEL RIO CHI,3.05436192,-111.1207717
FARMACIAS BENAVIDES SUC GALGODROMO CHI,30.53553976,-111.1191828
FARMACIAS BENAVIDES SUC GALGODROMO CHI,30.54692014,-111.1169569
FARMACIAS BENAVIDES SUC LA RAZA CHI,3.05394302,-111.113738
FARMACIAS BENAVIDES SUC LA RAZA CHI,29.12154027,-111.0524858
FARMACIA GUADALAJARA,29.12180293,-111.0332634
FARMACIA GUADALAJARA,29.10822087,-111.0291589
FARMACIA DEL HOGAR,29.12270423,-111.0272507
FARMACIA DEL HOGAR,29.08176205,-111.0240309
FARMACIAS GUADALAJARA,29.11870167,-111.0237556
FARMACIAS GUADALAJARA,29.10029664,-111.022597
FARMACIA DE FATIMA,29.09079517,-111.0223429
FARMACIA DE FATIMA,29.08723204,-111.0220798
FARMACIAS ROMMA MANEADERO,29.14458143,-111.0187725
FARMACIA 16 DE SEPTIEMBRE,29.08235402,-111.0120536
FARMACIA 16 DE SEPTIEMBRE,29.08827301,-111.0106205
