nombre_hospital,latitud,longitud,
CLINICA DE INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,32,-116.968208,
CLINICA DE LA MUJER,33,-116.9660617,
CLINICA DE MATERNIDAD SANTA TERESA,32,-116.9657324,
CLINICA DEL IMSS NUMERO 2,32,-116.9577995,
CLINICA GALERIAS,32,-116.951399,
CLINICA HOSPITAL CRISTUS LA FE,3,-116.9495199,
CLINICA HOSPITAL D0CTOR FRANCISCO Z CRUZ FLORES,33,-116.9405853,
CLINICA HOSPITAL DEL MAGISTERIO PROFESOR JOSE LUIS RIVERA ROSAS,32,-116.9401088,
CLINICA HOSPITAL EJEZA,32,-116.9358568,
CLINICA HOSPITAL PROFESOR ELISEO LOERA SALAZAR,33,-116.9336159,
CLINICA HOSPITAL PROFESOR FELIPE DE ALBA GALVAN,33,-116.9313155,
CLINICA HOSPITAL PROFESOR RAMON ORTIZ VILLALOBOS,32,-116.928802,
CLINICA IMSS 88,32,-116.927875,
CLINICA INFANTIL SANA SANA,33,-116.9274424,
CLINICA NUM 81 INSTITUTO MEXICANO DEL SEGURO SOCIAL,32,-116.9262918,
CLINICA SAN JOSE,32,-116.9251449,
CLINICA SAN MARTIN,32,-116.9170155,
CLINICA Y FARMACIA MEXICO,33,-116.9142821,
CMQ SABINAS,32,-116.9133695,
CONSULTOERIOS MEDICOS REGIONALES ARTEAGA,33,-116.9112435,
CONSULTORIO MEDICO SIN NOMBRE,3,-116.9038503,
CONSULTORIO PSIQUIATRIA,33,-116.8938007,
CRUZ ROJA MEXICANA,33,-116.889963,
CRUZ ROJA MEXICANA,33,-116.8877756,
EDIFICIO DE SANIDAD,32,-116.8806321,
FARMACIA PIEDRAS NEGRAS DEL MAGISTERIO,32,-116.8773074,
FARMACIA PROFESOR NICEFORO RODRIGUEZ MALDONADO,32,-116.872643,
HOSPITAL AMISTAD,33,-116.8722907,
HOSPITAL ANGELES,3,-116.8666261,
HOSPITAL ANGELES TORREON,33,-116.8659183,
HOSPITAL CENTRO MEDICO DE LA MUJER,32,-116.8497859,
HOSPITAL CLUB DE LEONES,32,-116.8454833,
HOSPITAL DE ESPECIALIDADES 71,33,-116.6432279,
HOSPITAL DE ESPECIALIDADES DE MONCLOVA,3,-116.6366785,
HOSPITAL DE PIEDRAS NEGRAS,33,-116.6320583,
HOSPITAL DEL NI?O DR. FEDERICO G?MEZ SANTOS,32,-116.6275649,
HOSPITAL GENERAL,32,-116.6242023,
HOSPITAL GENERAL ALLENDE DR.JESUS LOZANO GONZALEZ,33,-116.6225999,
HOSPITAL GENERAL ACU?A,32,-116.6210351,
HOSPITAL GENERAL AMPARO PAPE DE BENAVIDES,32,-116.6208336,
HOSPITAL GENERAL CUATROCIENEGAS,32,-116.6158732,
HOSPITAL GENERAL DE NUEVA ROSITA,3,-116.6140019,
HOSPITAL GENERAL DE SAN PEDRO,32,-116.6126234,
HOSPITAL GENERAL DE SUBZONA CON MEDICINA FAMILIAR NUMERO 27,32,-116.6118741,
HOSPITAL GENERAL DE ZONA CON MEDICINA FAMILIAR N 16,32,-116.6064925,
HOSPITAL GENERAL DE ZONA N 1 DR CARLOS DE LA PE?A,32,-116.6057079,
HOSPITAL GENERAL NUM. 11 INSTITUTO MEXICANO DEL SEGURO SOCIAL,32,-116.6019595,
HOSPITAL GENERAL SALTILLO,32,-116.6014338,
HOSPITAL GENERAL TORREON,32,-116.5998283,
HOSPITAL GENERAL UNIVERSITARIO DR JAQUIN DEL VALLE SANCHEZ,32,-116.598219,
HOSPITAL GUADALUPANO,32,-116.5978709,
HOSPITAL INFANTIL UNIVERSITARIO BEATRIZ VELASCO DE ALEMAN,32,-116.5916147,
HOSPITAL INGLES,32,-116.5891177,
HOSPITAL INTEGRAL FCO I MADERO,32,-116.5787786,
HOSPITAL LA ROSITA,3,-116.5726688,
HOSPITAL MATER,31,-116.2081708,
HOSPITAL MILITAR REGIONAL TORREON COAHUILA,31,-116.0650279,
HOSPITAL MUNICIPAL DE TORREON,31,-116.0021746,
HOSPITAL NARVAEZ,31,-115.9402278,
HOSPITAL PSIQUIATRICO DE PARRAS,31,-115.939471,
HOSPITAL RURAL 79,31,-115.9363908,
HOSPITAL SAN JOSE DE MONCLOVA,31,-115.9361979,
HOSPITAL SANTA FE,31,-115.9355652,
HOSPITAL SANTA LUCIA DE RAMOS ARIZPE,31,-115.9279814,
HOSPITAL SANTA TERESA,30,-115.9045983,
HOSPITAL UNIVERSITARIO,30,-115.8910002,
HOSPITAL UNIVERSITARIO DE SALTILLO DOCTOR GONZALO VALDES VALDES,30,-115.7372716,
HOSPITALES DEL SECTOR PRIVADO DE OTRAS ESPECIALIDADES M?DICAS SIN NOMBRE,30,-115.7238024,
IMSS,33,-115.5054435,
IMSS,33,-115.4972753,
IMSS MODULO URBANO 3 BIENESTAR,33,-115.4955053,
INSITUTO MEXICANPO DEL SEGURO SOCIAL,33,-115.4953112,
INSTITUTO CARDIOVASCULAR DE SALTILLO,33,-115.4937294,
INSTITUTO DE SEGURIDAD Y DE SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,33,-115.4882755,
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES,33,-115.4853898,
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTAD,33,-115.4796373,
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,33,-115.4778599,
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,33,-115.4777018,
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,33,-115.4776347,
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS TRABAJADORES DEL ESTADO,33,-115.4767027,
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS TRABAJADORES DEL ESTADO,33,-115.4760582,
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS TRABAJADORES DEL ESTADO CLINICA HOSPITAL PIEDRAS NEGRAS,33,-115.4757294,
INSTITUTO DEL SEGURO SOCIAL,33,-115.4757294,
INSTITUTO MEXICANO DEL SEGURO SOCIAL,33,-115.4757294,
INSTITUTO MEXICANO DEL SEGURO SOCIAL,33,-115.4757294,
INSTITUTO MEXICANO DEL SEGURO SOCIAL,33,-115.4757294,
INSTITUTO MEXICANO DEL SEGURO SOCIAL,33,-115.4757294,
INSTITUTO MEXICANO DEL SEGURO SOCIAL,33,-115.4757294,
INSTITUTO MEXICANO DEL SEGURO SOCIAL NO 18,33,-115.4757294,
INSTITUTO MEXICANO DEL SEGURO SOCIAL NUMERO 52,33,-115.4757294,
INSTITUTO MEXICANO DEL SEGURO SOCIAL SUB ZONA 20,33,-115.4757103,
INSTITUTO MEXICANO DEL SEGURO SOCIAL UMF 86,33,-115.4754533,
INSTITUTO MEXICANO DEL SEGURO SOCIAL UNIDAD FAMILIAR N79,33,-115.4752758,
INSTITUTO MUNICIPAL DE LA MUJER DE TORREON,33,-115.4748121,
INSTITUTO SOCIAL AL SERVICIO DE LOS TRABAJADORES DEL ESTADO,33,-115.4730223,
ISSTE,33,-115.4715849,
ISTITUTO DE SEGURIDAD Y SERVICIO A LOS TRABAJADORES DEL ESTADO,33,-115.4712976,
MEDICA BOSCO,33,-115.469944,
MEDICAL CARE URGENCIAS,33,-115.4678712,
MEDICAL SUPPORT,33,-115.4677969,
MEDIKCENTRO CAMPA,33,-115.4656993,
PEDRIATRIA Y ADOLESENCIA SC,33,-115.4591159,
RAYOS X CENTRO MEDICO,3,-115.4524077,
SANATORIO DE BENEFICENCIA VIRGEN DE LOS DOLORES,33,-115.4392636,
SANATORIO ESPA?OL,33,-115.436731,
SANATORIO ESPA?OL,33,-115.4345254,
SANATORIO ESPA?OL,33,-115.418767,
SANATORIO ESPA?OL,3,-115.4109704,
SANTA ELENA CLINICA QUIRURGICA Y ENDOSCOPICA,33,-115.4052499,
SEGURO 66 T.V.,33,-115.3954733,
SERVICIO MEDICO DEL MAGISTERIO,33,-115.3864088,
SERVICIOS ASISTENCIALES PARA LA COMUNIDAD CLINICA BETHESDA,33,-115.3862133,
SERVICIOS MEDICOS,33,-115.3861338,
SERVICIOS MEDICOS EMPRESARIALES,33,-115.3854915,
SINDICATO NACIONAL DE LA SECRETARIA DE SALUD,28,-115.1937274,
SSA HOSPITAL INTEGRAL DE MATAMOROS,32,-115.1924916,
STAR CLINIC CLINICA DE ESPECIALIDADES,28,-115.1905114,
SUCURSAL CAM CRISTAL,28,-115.1873462,
SUCURSAL CAM NOGALERA,33,-115.0001327,
TORRE DE ESPECIALIDADES HOSPITAL LOS ANGELES,33,-114.845756,
TORRE DE ESPECIALIDADES HOSPITAL LOS ANGELES,31,-114.8437969,
UMA ANZUREZ,31,-114.8327505,
UMA ANZUREZ,25.54307827,-103.4516749,
UNEME CAPASITS,25.53152752,-103.4511877,
UNEME ENFERNEDADES CRONICAS,25.53473927,-103.4485326,
UNIDAD MEDICA DE APOYO,25.53562584,-103.4461837,
UNIDAD MEDICA FAMILIAR NO- 85,2.55413012,-103.4452986,
UNIDAD MEDICA HERCULES,2.55413012,-103.4452986,
UNIDAD MEDICA RURAL 061 EJIDO HIDALGO,25.54148513,-103.4444503,
UNIDAD MEDICA RURAL 076,25.53920701,-103.443019,
VILASECA DE LA LAGUNA CASA DE LA MADRE LOLA HOSPITAL,25.54304365,-103.4424278,
ADMINISTRACION DEL CENTRO MEDICO DE CHETUMAL,25.54130168,-103.4407469,
AMERIMED HOSPITAL,25.54224409,-103.4403315,
ARTHROS,25.54031996,-103.4389979,
CENTRO DE ATENCION MEDICA,25.53757338,-103.4384535,
CENTRO DE SALUD DE COBA,25.53844082,-103.4380922,
CENTRO INTEGRAL DE SALUD MENTAL UNEME CISAME,25.54318622,-103.4371052,
CENTRO MEDICO CLINICA DE TAXISTAS,2.55369488,-103.434423,
CENTRO MEDICO CUBANO,25.53740965,-103.4339834,
CENTRO MEDICO INTEGRAL,25.56170537,-103.4323522,
CENTRO MEDICO LABORAL,2.55446414,-103.4299791,
CLINICA CAMPESTRE,25.53548605,-103.4232364,
CLINICA DUARTE,25.53547563,-103.421943,
CLINICA HOSPITAL AVC,25.57045029,-103.4216468,
CLINICA HOSPITAL DEL INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO EN CHETUMAL QUINTANA ROO,25.53546201,-103.4204017,
CLINICA HOSPITAL ISSTE CANCUN,25.55833886,-103.4141134,
CLINICA KARLA,2.56048007,-103.3978273,
CLINICA MEDICA DEL CARMEN,25.51750647,-103.3951604,
CLINICA MEDICA ISLA MED,25.51750647,-103.3951604,
CLINICA NAZARET,25.51750647,-103.3951604,
CLINICA PERFECTION,25.51933904,-103.38782,
CLINICA RYU,25.52161537,-103.3849953,
CLINICA SANTA FE,25.53469179,-103.3466584,
CLINICA Y MATERNIDAD MORELOS,25.52974944,-103.3286284,
CONSULTORIO CARDIOLOGO PEDIATRA,25.76839452,-103.2763191,
CONSULTORIO GINECOLOGO,25.76799854,-103.2728586,
COSTAMED COZUMEL,25.53170221,-103.2346441,
COSTAMED PLAYA DEL CARMEN,25.52697663,-103.2309695,
COSTAMED TULUM,25.52758362,-103.2298491,
COVOPRECAN,25.75318712,-102.9964177,
COZUMEL INTERNATIONAL CLINIC,25.75833476,-102.9913698,
GABINETE DE DIAGNOSTICO CHETUMAL,25.75864906,-102.9790449,
GENECOLOGIA Y OBSTETRICIA,25.76410363,-102.9753872,
HOSPITAL AMERICANO DE CANCUN,25.34600136,-102.8050813,
HOSPITAL AMERIMED COZUMEL,27.31325963,-102.3968202,
HOSPITAL AMERIMED PLAYA DEL CARMEN,27.31057219,-102.3946925,
HOSPITAL AZURA CANCUN,25.44210519,-102.1955909,
HOSPITAL AZURA CANCUN,25.43837884,-102.1954375,
HOSPITAL DE GINECOPEDIATRIA N.7,25.44252467,-102.1878437,
HOSPITAL DEL IMSS,25.44554585,-102.1720259,
HOSPITAL GALENIA,26.98881315,-102.0593222,
HOSPITAL GENERAL,27.02654462,-101.5937788,
HOSPITAL GENERAL DE CANCUN QUINTANA ROO JESUS KUMATE RODRIGUEZ,27.04823552,-101.5513104,
HOSPITAL GENERAL DE COZUMEL SESA,2.70555646,-101.5484622,
HOSPITAL GENERAL DE SUBZONA CON MEDICINA FAMILIAR NO 2,27.05548559,-101.5442437,
HOSPITAL GENERAL DE ZONA NUMERO 3,2.78778053,-101.5277255,
HOSPITAL GENERAL DEFELIPE CARRILLO PUERTO,27.87424105,-101.5057686,
HOSPITAL GENERAL PLAYA DEL CARMEN,2.69500511,-101.4604489,
HOSPITAL INTEGRAL DE BACALAR,26.92593948,-101.4451601,
HOSPITAL INTEGRAL DE JOSE MARIA MORELOS,26.89599054,-101.4431537,
HOSPITAL INTEGRAL DE KANTUNILKIN,26.92122555,-101.4408643,
HOSPITAL INTEGRTAL DE ISLA MUHERES,26.92145757,-101.438165,
HOSPITAL MEDCAL,26.91974057,-101.435341,
HOSPITAL MILITAR DE ZONA DE CHETUMAL,26.85637355,-101.4331637,
HOSPITAL MORELOS,26.78449941,-101.4306161,
HOSPITAL PLAYA MED,26.90379665,-101.4298089,
HOSPITAL PLAYA MED,26.91652543,-101.4241085,
HOSPITAL PRESBITERIANO,26.79938194,-101.4225291,
HOSPITAL QUIRÈRGICA DEL SUR,27.89183374,-101.4225201,
HOSPITAL REGIONAL NUMERO 17 DEL IMSS,26.92857723,-101.4214457,
HOSPITEN CANCUN,26.90234035,-101.4204646,
HOSPITEN RIVIERA MAYA,27.88900442,-101.4155954,
INSTITUTO MEXICANO DEL SEGURO SOCIAL,26.95721651,-101.4129163,
INSTITUTO MEXICANO DEL SEGURO SOCIAL,26.92361482,-101.3941489,
LIVE MEDICAL CENTER,26.90799787,-101.3921467,
MEDICA SAN MIGUEL,27.74457349,-101.3457052,
MEDICA VALLE,27.93003138,-101.2123696,
MEDICO PEDRIATRA,27.87624712,-101.130243,
MODULO DE ATENCION PARA TARJETA DE SALUD,2.78574063,-101.1296316,
OFICINA ADMINISTRATIVA COZUMEL,27.85634832,-101.127506,
QUIROFNO DEL INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES,27.85198388,-101.1273706,
SANATORIO NAVAL DE CHETUMAL,27.85644693,-101.1227412,
SANATORIO NAVAL MUJERES,27.85182333,-101.1216118,
SECRETARIA DE SALUD,25.42786843,-101.0141159,
SECRETARIA DE SALUD SESA,25.42785956,-101.0140975,
THE RIVERA HOSPITAL,25.41813749,-101.0085165,
TRAUMATOLOGIA Y ORTOPEDIA,25.41712235,-101.0073743,
TU SALUD.COM,25.39587784,-101.0028054,
UNEME CAPA CENTRO DE ADICCION PRIMARIA EN ADICCIONMES,25.44323641,-100.998222,
"UNIDAD DE SALUD DE AKUMAL DEL MUNICIPIO DE TULUM, Q.ROO",25.41990944,-100.9972711,
AREA DE SALUD DIF,25.41990944,-100.9972711,
BODEGA UMA,25.41874383,-100.9962187,
CENTRO AVANZADO DE ATENCION PRIMARIA EN SALUD,25.39197436,-100.9959497,
CENTRO DE ATENCION PRIMARIA EN ADICCIONES CENTRO DE NUEVA VIDA,25.38892519,-100.9948477,
CENTRO DE SEGURIDAD SOCIAL,25.46867104,-100.9914852,
CENTRO DE SEGURIDAD SOCIAL 101 CAMPECHE,25.45669427,-100.9909709,
CENTRO ESTATAL DE ONCOLOGIA DE CAMPECHE DR. LUIS GONZALEZ FRANCIS,25.45698258,-100.9908849,
CENTRO IMAGEN TAJONAL,25.45768687,-100.9900626,
CENTRO INTEGRAL DE DIAGNOSTICO MEDICO,25.45378388,-100.9863167,
CENTRO MEDICO CESAT,25.45695725,-100.9832231,
CLINICA HOSPITAL PATRICIO TRUEBA REGIL,25.46216626,-100.981896,
CLINICA MORELOS,25.46230555,-100.9818248,
CLINICA NAVAL CHAMPOTON,25.46196751,-100.9791605,
CONSULTORIO DE CARDIOLOGIA,25.47833199,-100.9783612,
CONSULTORIO MEDICO ESPECIALISTA EN GINECOLOGIA Y O,25.47808518,-100.9777275,
CRUZ ROJA MEXICANA,25.46215574,-100.972123,
ESTACIONAMIENTO DEL HOSPITAL DR MANUEL CAMPOS,25.45490181,-100.9707848,
HOSPITAL COMUNITARIO DE HOPELCHEN,25.47338416,-100.9602812,
HOSPITAL COMUNITARIO DE HOPELCHEN,25.41082367,-100.9599643,
HOSPITAL COMUNITARIO DE PALIZADA,25.44363236,-100.9587324,
HOSPITAL COMUNITARIO DE PALIZADA,25.53978839,-100.9571729,
HOSPITAL COMUNITARIO DE SABANCUY,25.41182803,-100.9565372,
HOSPITAL DE PEMEX,2.54113963,-100.950177,
HOSPITAL DR. MANUEL CAMPOS,25.53765905,-100.9484386,
HOSPITAL GENERAL CON MEDICINA FAMILIAR 4,25.42234469,-100.946473,
HOSPITAL GENERAL DE CANDELARIA,25.51887667,-100.9375465,
HOSPITAL GENERAL DE CHAMPOTON,29.32088214,-100.9341408,
HOSPITAL GENERAL DE ESCARCEGA DR.JANELL ROMERO AGUILAR.,29.31992136,-100.9328282,
HOSPITAL GENERAL DE ESPECIALIDADES DR. JAVIER BUENFIL OSORIO,0.29311217,-100.9305721,
HOSPITAL GENERAL DE PêMEX CIUDAD DEL CARMEN,29.32141742,-100.9293034,
HOSPITAL GENERAL MARIA DEL SOCORRO QUIROGA AGUILAR,29.32308476,-100.9244607,
HOSPITAL INTEGRAL DE CALKINI,29.32295442,-100.9242375,
HOSPITAL INTEGRAL DE HOPELCHEN,28.49159641,-100.9202647,
HOSPITAL INTEGRAL DE XPUJIL,29.03102389,-100.9025833,
HOSPITAL MARIA CONSTANZA,28.35410171,-100.8611106,
HOSPITAL MEDICO DE PEMEX,28.35040204,-100.8542056,
HOSPITAL NAVAL,2.54467407,-100.8448207,
HOSPITAL VOSSAN,26.84111873,-100.6628613,
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,28.68314369,-100.5475455,
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,28.68314207,-100.5475417,
INSTITUTO MEXICANO DEL SEGURO SOCIAL,28.67601953,-100.5468533,
INSTITUTO MEXICANO DEL SEGURO SOCIAL,28.68643721,-100.5434887,
INSTITUTO MEXICANO DEL SEGURO SOCIAL,28.70258294,-100.5420932,
ISSTE CLINICA HOSPITAL 10,28.66039501,-100.5408782,
KANSIA YKUN,28.69699728,-100.5287011,
MEDICLINIC,28.69774165,-100.5277871,
MODULO BIENESTAR SOCIAL,28.71336829,-100.5264714,
OFICINA ADMINISTRATIVA DE CENTRO MEDICO CAMPECHE,28.70441521,-100.5258945,
SANATORIO Y CLINICA CAMPECHE,28.70343768,-100.5192031,
UNEME DEDICAM DETECCION Y DIAGNOSTICO DEL CANCER DE MAMA,28.70509486,-100.5155568,
UNIDAD MEDICA FAMILIAR N. 9,28.70363207,-100.5150396,
UNIDAD MEDICA RURAL FELIPE CARRILLO PUERTO,28.67831322,-100.5137091,
UNIDAD MEDICA RURAL IMMS BIENESTAR,19,-92.22180168,
UNIDAD MEDICA RURAL STO DOMINGO KESTE,19,-92.10468276,
UNIDAD MêDICA URBANA CAMPECHE IMSS Y BIENESTAR,18,-92.09942481,
ALMACEN DE EMBARGOS DE IMSS,18,-92.08810344,
BAJA MEDI,19,-91.84382233,
BARIATRICPALMX,19,-91.83981417,
BEST FUNDACION,19,-91.83534623,
BODEGA,19,-91.83518755,
C0NSULTORIO MEDICO EXTENSION ISSTE,19,-91.82958941,
CAPASITS,19,-91.82197698,
CENTRAL TERAPEUTICA,19,-91.81957054,
CENTRO AVANZADO DE ATENCION PRIMARIA A LA SALUD,19,-91.78835828,
CENTRO COMUNITARIO CARAVANA 27,19,-91.78461906,
CENTRO DE DIAGNOSTICO SAN ANGEL,19,-91.78461636,
CENTRO DE ESPECIALIDADES ODONTOLOGICAS,19,-91.78187424,
CENTRO DE REHABILITACION CREER NO1,19,-91.17512048,
CENTRO DE SALUD EL RUBI,18,-91.04384903,
CENTRO DE TERAPIA VASCULAR,19,-90.74224061,
CENTRO HOSPITALARIO CHIPSA,2,-90.73342883,
CENTRO LASER DE REJUVENECIMIENTO,19,-90.73272518,
CENTRO MEDICO FLORENCE,19,-90.72415788,
CENTRO MEDICO FRONTERAS UNIDAS PRO SALUD,20,-90.61931778,
CENTRO MEDICO HOSPITAL DEL PRADO,2,-90.56401125,
CENTRO MEDICO LAS AMERICAS,2,-90.53939641,
CENTRO MEDICO QUIRURGICO SANTA FE TIJUANA,20,-90.53728684,
CENTRO MEDICO SENABIL,20,-90.53525242,
CENTRO MêDICO SIMNSA,20,-90.53525165,
CENTRO MEDICO URGENTE MEXICALI,20,-90.53251222,
CIRUGIA CARDIOVASCULAR Y DIAVETES,20,-90.53242134,
CIRUGIA PLASTICA,20,-90.52873413,
CIRUJANO PLASTICO,20,-90.52675118,
CLINICA 32 IMSS,20,-90.52591791,
CLINICA DE LA TORRE,20,-90.52539798,
CLINICA DE MEDICINA FAMILIAR MEZA DE OTAY ISSTE,20,-90.52403776,
CLINICA DEL SEGURO SOCIAL NO 7,20,-90.52388786,
CLINICA ELITE,0,-90.52386803,
CLINICA GENESIS DE BAJA CALIFORNIA,19,-90.51009807,
CLINICA HOSPITAL FILADELFIA,20,-90.50171901,
CLINICA IMSS,20,-90.48222285,
CLINICA J L PRADO OFICINAS ADMINISTRADTIVAS,20,-90.22904739,
CLINICA LUNA,20,-90.14102933,
CLINICA MARIANO MATAMOROS ISSTECALI,20,-90.06439514,
CLINICA MEDICA DIF,20,-89.84799148,
CLINICA MEDICA FAMILIAR,20,-89.84773492,
CLINICA MEDICA FILADELFIA,20,-89.84451331,
CLINICA MEDICA Y DENTAL RIO,20,-89.84379791,
CL÷NICA MêDICO QUIRÈRGICA VALLE DORADO,19,-89.39606227,
CLINICA NUEVA TIJUANA GRIJALVA,20,-88.71327366,
CL÷NICA SAN ANTONIO,20,-88.70605799,
CLINICA SANCHEZ,19,-88.38847367,
CLINICA SANTA CATALINA,19,-88.31905308,
CLINICA ST JOSEPH,19,-88.31542148,
COMSULTORIO MEDICO DE GINECOLOGIA Y OBSTRETICIA,19,-88.31402465,
CONSULTORIO,19,-88.30993089,
CONSULTORIO DE CARDIOLOGIA,19,-88.30600126,
CONSULTORIO DE GASTROENTEROLOGIA Y ENDOSCOPIA,19,-88.30600126,
CONSULTORIO DE GINECOLOGIA,19,-88.30600126,
CONSULTORIO DE GINECOLOGIA Y OBSTETRICIA,19,-88.30413901,
CONSULTORIO DE MEDICINA FAMILIAR,19,-88.29787046,
CONSULTORIO DE MEDICINA INTERNA Y CRITICA,2,-88.28880097,
CONSULTORIO DE NEUROCIRUGIA,19,-88.28754706,
CONSULTORIO DE RADIO ONCOLOGIA,19,-88.27905065,
